City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Moba,33.2288,105.0179,36.14000000000002,79,89,1.51,CN,1611897950
Yerköy,39.6381,34.4672,29.75,93,83,0.26,TR,1611897954
Velizh,55.6056,31.1967,27.23000000000004,99,99,1.65,RU,1611897955
Oranjemund,-28.55,16.4333,61.17800000000007,80,0,7.28,NA,1611897956
Cidreira,-30.1811,-50.2056,73.32800000000006,93,100,7.89,BR,1611897959
Nantucket,41.2835,-70.0995,23.0,68,90,11.83,US,1611897693
Asău,46.4333,26.4,32.0,69,0,3.09,RO,1611897971
Zabaykal'sk,49.6333,117.3167,-9.237999999999943,87,100,1.94,RU,1611897982
Ushuaia,-54.8,-68.3,39.2,87,75,11.83,AR,1611897985
Batelov,49.3143,15.3947,33.008,100,100,1.88,CZ,1611897985
Khatanga,71.9667,102.5,-44.985999999999976,73,0,1.46,RU,1611897985
Wanning,18.8003,110.3967,70.82600000000009,70,89,5.44,CN,1611897986
Matara,5.9485,80.5353,86.77400000000002,62,93,1.45,LK,1611898309
Jamestown,42.097,-79.2353,19.004000000000055,79,90,7.2,US,1611898250
Carnarvon,-24.8667,113.6333,91.4,52,0,7.2,AU,1611898310
Miles City,46.4083,-105.8406,26.6,74,1,4.12,US,1611898310
Hithadhoo,-0.6,73.0833,82.49000000000002,71,38,3.63,MV,1611898310
Mar del Plata,-38.0023,-57.5575,66.93800000000005,85,100,2.55,AR,1611898311
Launceston,-41.45,147.1667,62.99600000000005,63,90,6.17,AU,1611898266
Missoula,47.0166,-113.8009,23.23399999999999,96,100,0.43,US,1611898311
Bluff,-46.6,168.3333,48.00200000000008,80,98,3.58,NZ,1611898311
Barreiras,-12.1528,-44.99,70.08800000000005,67,22,0.86,BR,1611898312
Bredasdorp,-34.5322,20.0403,60.8,67,16,3.6,ZA,1611898312
Kaoma,-14.7833,24.8,67.5680000000001,91,100,3.6,ZM,1611898312
Vaini,-21.2,-175.2,78.80000000000001,94,90,8.23,TO,1611898025
Cape Town,-33.9258,18.4232,64.99400000000009,88,40,1.03,ZA,1611898152
Nanortalik,60.1432,-45.2371,33.40400000000005,87,94,6.64,GL,1611898313
Pisco,-13.7,-76.2167,68.50400000000005,80,77,2.05,PE,1611898313
Ostrovnoy,68.0531,39.5131,2.3180000000000867,88,100,8.56,RU,1611898313
Puerto Ayora,-0.7393,-90.3518,77.0,91,39,0.45,EC,1611898313
Olafsvik,64.8945,-23.7142,31.19000000000002,89,80,1.91,IS,1611898313
Mataura,-46.1927,168.8643,48.00200000000008,80,97,3.58,NZ,1611898314
Hong Kong,22.2855,114.1577,69.99800000000002,32,0,5.66,HK,1611898182
Saint-Joseph,-21.3667,55.6167,80.65400000000005,68,13,3.05,RE,1611898314
Misantla,19.9333,-96.8333,60.49400000000007,88,100,2.08,MX,1611898314
Lander,42.833,-108.7307,37.4,44,1,3.48,US,1611898314
Albany,42.6001,-73.9662,5.144000000000073,86,29,5.55,US,1611898209
Gogrial,8.5332,28.1004,77.39600000000004,16,68,3.46,SS,1611898314
Oudtshoorn,-33.5907,22.2014,64.4,77,75,2.06,ZA,1611898315
Punta Arenas,-53.15,-70.9167,41.0,65,90,5.14,CL,1611898315
Barrow,71.2906,-156.7887,-14.799999999999947,76,90,3.6,US,1611898315
Hofn,64.2539,-15.2082,28.52600000000009,88,48,1.77,IS,1611898315
Kholm,59.2667,32.85,29.06600000000001,99,100,1.78,RU,1611898315
Thompson,55.7435,-97.8558,-2.9559999999999818,91,94,2.81,CA,1611898315
Puerto Madero,14.7208,-92.4215,77.59400000000008,70,83,2.43,MX,1611898316
Castro,-24.7911,-50.0119,64.292,94,100,1.69,BR,1611898316
Tasiilaq,65.6145,-37.6368,24.8,86,90,1.54,GL,1611898316
Santa Cruz Cabrália,-16.2781,-39.0247,73.38200000000002,89,13,0.9,BR,1611898316
Batagay-Alyta,67.8006,130.4114,-39.24399999999997,80,0,0.76,RU,1611898316
East London,-33.0153,27.9116,68.0,77,0,4.63,ZA,1611898316
Waingapu,-9.6567,120.2641,82.99400000000009,76,93,6.83,ID,1611898317
Severobaykal'sk,55.65,109.3167,-10.677999999999962,81,0,0.98,RU,1611898317
George Town,5.4112,100.3354,83.96600000000001,59,100,0.23,MY,1611898318
Ulladulla,-35.35,150.4667,66.29000000000002,91,100,5.27,AU,1611898318
Ixtapa,20.7,-105.2,69.15200000000007,56,66,1.33,MX,1611898318
Atuona,-9.8,-139.0333,78.89000000000001,76,68,8.37,PF,1611898318
Rawson,-43.3002,-65.1023,60.27800000000006,65,11,2.12,AR,1611898318
Kozluk,38.1938,41.4885,39.2,100,75,3.09,TR,1611898318
Nemuro,43.3236,145.575,26.6,93,75,6.17,JP,1611898319
Rikitea,-23.1203,-134.9692,79.97000000000006,67,76,1.82,PF,1611897789
Sirte,31.2089,16.5887,56.87600000000009,80,33,5.15,LY,1611898319
Northam,51.0333,-4.2167,48.992,94,38,7.15,GB,1611898319
